,Year,Month,Day,no_tot,datetime,no_stupid,no_obama,no_liberal,no_idiot,no_conservative,no_values,no_principles,stupid_rate,obama_rate,liberal_rate,idiot_rate,conservative_rate,values_rate,principles_rate
52,2014,12,16,19999,2014-12-16,32,398,58,16,188,11,6,0.0016000800040002,0.019900995049752488,0.0029001450072503624,0.0008000400020001,0.009400470023501174,0.0005500275013750688,0.0003000150007500375
53,2014,12,17,8297,2014-12-17,14,544,37,53,198,6,6,0.0016873568759792697,0.06556586718090876,0.004459443172230927,0.006387851030492949,0.023864047245992528,0.0007231529468482585,0.0007231529468482585
54,2014,12,18,5413,2014-12-18,22,462,32,11,134,1,4,0.004064289673009422,0.08535008313319786,0.005911694069831886,0.002032144836504711,0.024755218917421024,0.00018474043968224645,0.0007389617587289858
55,2014,12,19,4091,2014-12-19,5,254,48,4,102,10,2,0.0012221950623319481,0.06208750916646297,0.011733072598386702,0.0009777560498655585,0.024932779271571743,0.0024443901246638962,0.0004888780249327792
56,2014,12,20,3684,2014-12-20,7,289,12,4,126,2,1,0.0019001085776330076,0.07844733984799131,0.003257328990228013,0.0010857763300760044,0.03420195439739414,0.0005428881650380022,0.0002714440825190011
57,2014,12,21,6357,2014-12-21,20,204,47,16,604,2,1,0.003146138115463269,0.03209060877772534,0.007393424571338682,0.002516910492370615,0.09501337108699072,0.0003146138115463269,0.00015730690577316344
58,2014,12,22,6910,2014-12-22,11,332,63,29,855,16,40,0.0015918958031837917,0.048046309696092616,0.009117221418234444,0.004196816208393632,0.12373371924746744,0.0023154848046309695,0.005788712011577424
59,2014,12,23,6644,2014-12-23,10,720,79,12,339,1,2,0.0015051173991571343,0.10836845273931367,0.011890427453341361,0.001806140878988561,0.051023479831426855,0.00015051173991571343,0.00030102347983142685
60,2014,12,24,3896,2014-12-24,9,465,36,10,123,2,3,0.0023100616016427105,0.11935318275154004,0.009240246406570842,0.002566735112936345,0.031570841889117046,0.000513347022587269,0.0007700205338809035
61,2014,12,26,191662,2014-12-26,9,218,33,4,107,3,2,4.695766505619267e-05,0.0011374189980277781,0.0001721781052060398,2.0870073358307854e-05,0.0005582744623347352,1.565255501873089e-05,1.0435036679153927e-05
62,2014,12,27,4545,2014-12-27,9,376,28,5,89,1,1,0.0019801980198019802,0.08272827282728273,0.006160616061606161,0.0011001100110011,0.019581958195819583,0.00022002200220022002,0.00022002200220022002
63,2014,12,28,4808,2014-12-28,14,282,40,8,78,2,2,0.0029118136439267887,0.058652246256239604,0.008319467554076539,0.0016638935108153079,0.01622296173044925,0.00041597337770382697,0.00041597337770382697
64,2014,12,29,4048,2014-12-29,8,170,65,8,109,1,2,0.001976284584980237,0.04199604743083004,0.016057312252964428,0.001976284584980237,0.026926877470355732,0.00024703557312252963,0.0004940711462450593
65,2014,12,30,5708,2014-12-30,11,354,49,16,153,5,2,0.0019271198318149966,0.062018220042046254,0.008584442887175893,0.002803083391730904,0.02680448493342677,0.0008759635599159075,0.000350385423966363
66,2014,12,31,6822,2014-12-31,21,264,30,26,662,2,1,0.0030782761653474055,0.03869832893579595,0.0043975373790677225,0.0038111990618586926,0.0970389914980944,0.0002931691586045148,0.0001465845793022574
67,2015,1,1,4812,2015-01-01,43,333,28,7,172,2,2,0.008935993349958437,0.06920199501246883,0.005818786367414797,0.0014546965918536992,0.03574397339983375,0.00041562759767248546,0.00041562759767248546
68,2015,1,2,5385,2015-01-02,8,429,54,9,246,4,2,0.0014856081708449396,0.07966573816155989,0.010027855153203343,0.001671309192200557,0.045682451253481894,0.0007428040854224698,0.0003714020427112349
69,2015,1,3,8934,2015-01-03,8,363,55,9,211,2,3,0.0008954555630176853,0.04063129617192747,0.0061562569957465865,0.0010073875083948958,0.023617640474591448,0.00022386389075442132,0.000335795836131632
